,angle,method_name,MAE,RMSE,SNR,PEARSON,Acccuracy,dataset_name
83,45.0,GREEN,22.066824776785715,32.430330575674965,-13.257091675665382,0.2746239958996679,33.92857142857143,UBFC-rPPG
84,50.0,GREEN,18.300083705357142,28.903857982743776,-12.35784766056121,0.347085492060236,34.82142857142857,UBFC-rPPG
85,60.0,GREEN,14.800153459821429,26.29961346617304,-10.154529930205573,0.42074215929080677,48.214285714285715,UBFC-rPPG
86,70.0,GREEN,10.845075334821429,22.05599430116532,-7.9792469205993495,0.5406286789936867,58.035714285714285,UBFC-rPPG
87,90.0,GREEN,21.344866071428573,30.508664993033648,-13.930836226358418,0.2365675715733224,22.321428571428573,UBFC-rPPG
88,15.0,ICA,6.795828683035714,17.31483553103816,-1.9307518364748115,0.6409952744523657,75.0,UBFC-rPPG
89,20.0,ICA,4.080636160714286,11.445081569921623,0.7511408094742567,0.823692461274733,78.57142857142857,UBFC-rPPG
90,25.0,ICA,4.582868303571429,12.671412513441348,1.7086798159232348,0.8082610055730404,78.57142857142857,UBFC-rPPG
91,30.0,ICA,4.112025669642857,13.68265777755808,2.7350233619197866,0.7480048509486509,83.92857142857143,UBFC-rPPG
92,35.0,ICA,3.688267299107143,12.558785220747966,2.9635772230565367,0.7878398686940912,83.92857142857143,UBFC-rPPG
93,40.0,ICA,3.7196568080357144,12.646349713155084,3.145365126099427,0.772806923103944,82.14285714285714,UBFC-rPPG
94,45.0,ICA,3.5940987723214284,12.503746016366051,3.2788078302290438,0.7705297852963453,80.35714285714286,UBFC-rPPG
95,50.0,ICA,3.3743722098214284,12.41295342471268,3.3124298395701124,0.7762226185732511,83.92857142857143,UBFC-rPPG
96,60.0,ICA,3.2958984375,11.63395310993114,3.6152417291355934,0.8102555781775708,81.25,UBFC-rPPG
97,70.0,ICA,4.127720424107143,13.155312858474014,3.1332232904565602,0.7712063790019397,78.57142857142857,UBFC-rPPG
98,90.0,ICA,3.9707728794642856,11.467958511357324,1.1983161445640056,0.8409125771560584,76.78571428571429,UBFC-rPPG
99,15.0,LGI,2.7308872767857144,10.122423116558,0.5919043422514499,0.8419047411580168,82.14285714285714,UBFC-rPPG
100,20.0,LGI,4.06494140625,14.116347622773972,2.4810844535201833,0.7441578760772966,83.92857142857143,UBFC-rPPG
101,25.0,LGI,2.793666294642857,10.614667725175202,3.3808200802612984,0.844379395095416,86.60714285714286,UBFC-rPPG
102,30.0,LGI,2.8250558035714284,10.894285193288182,3.733270946798339,0.8374987615235484,86.60714285714286,UBFC-rPPG
103,35.0,LGI,2.9976981026785716,11.720188597524544,3.967943405563577,0.8177377568911446,86.60714285714286,UBFC-rPPG
104,40.0,LGI,3.8609095982142856,13.302339110899212,4.080574852494783,0.792167446263797,83.92857142857143,UBFC-rPPG
105,45.0,LGI,3.3743722098214284,12.591693265336877,4.192990277461577,0.8076061059439695,86.60714285714286,UBFC-rPPG
106,50.0,LGI,3.8138253348214284,13.274311208520444,4.295151577114004,0.7941716169890565,84.82142857142857,UBFC-rPPG
107,60.0,LGI,3.798130580357143,13.273272001472348,4.317603006782321,0.79404812287192,84.82142857142857,UBFC-rPPG
108,70.0,LGI,3.2802036830357144,12.102355328758224,4.256433232014642,0.8171810369962815,85.71428571428571,UBFC-rPPG
109,90.0,LGI,4.520089285714286,14.441903371718247,-0.022722275927459838,0.7619018913160582,79.46428571428571,UBFC-rPPG
110,15.0,PBV,8.993094308035714,21.010534446882055,-5.165826372908177,0.5231285603980115,67.85714285714286,UBFC-rPPG
111,20.0,PBV,7.14111328125,17.646265112233735,-1.9046498511763679,0.6969577956668875,71.42857142857143,UBFC-rPPG
112,25.0,PBV,6.607491629464286,16.79722985181128,0.05910972777682609,0.6920088632275041,74.10714285714286,UBFC-rPPG
113,30.0,PBV,3.2645089285714284,10.9094688733998,1.3361448769742974,0.8212924815745423,83.03571428571429,UBFC-rPPG
114,35.0,PBV,3.342982700892857,10.566475230622144,1.6967614825073927,0.8341262202411339,78.57142857142857,UBFC-rPPG
115,40.0,PBV,4.912458147321429,13.76808413985837,0.5697007147699119,0.7755435831884102,73.21428571428571,UBFC-rPPG
116,45.0,PBV,3.2017299107142856,11.52435372984339,1.921262738884322,0.8263915230185045,80.35714285714286,UBFC-rPPG
117,50.0,PBV,3.7196568080357144,12.591693265336877,1.3279075257860231,0.7981238558747891,79.46428571428571,UBFC-rPPG
118,60.0,PBV,4.786900111607143,15.114887861062359,1.0236856268024999,0.7071750768350626,75.89285714285714,UBFC-rPPG
119,70.0,PBV,4.865373883928571,14.693777487861757,1.5801163832411913,0.7530902845907518,75.89285714285714,UBFC-rPPG
120,90.0,PBV,8.067103794642858,18.1738479905808,-3.605925659099142,0.6570240858444829,63.392857142857146,UBFC-rPPG
121,15.0,POS,1.6008649553571428,5.05984863606275,1.9295276665615084,0.9553871485334701,83.92857142857143,UBFC-rPPG
122,20.0,POS,1.3497488839285714,4.870939806680731,3.958615895870685,0.9584013222664451,86.60714285714286,UBFC-rPPG
123,25.0,POS,1.0829380580357142,3.805775700224584,4.669879540474591,0.9746924482984733,88.39285714285714,UBFC-rPPG
124,30.0,POS,1.1143275669642858,3.8346624577756434,5.0607813113369735,0.974482593696199,87.5,UBFC-rPPG
125,35.0,POS,1.1457170758928572,4.747604856166062,5.3131346509106026,0.9605443664866209,89.28571428571429,UBFC-rPPG
126,40.0,POS,1.1928013392857142,4.779458615961733,5.53359712445649,0.959824422958878,87.5,UBFC-rPPG
127,45.0,POS,1.2241908482142858,4.7967442369988165,5.641111201444461,0.9598235937930867,88.39285714285714,UBFC-rPPG
128,50.0,POS,1.3026646205357142,4.851075710730008,5.725927260675655,0.9588419910656202,86.60714285714286,UBFC-rPPG
129,60.0,POS,1.2241908482142858,4.802492284881347,5.833405204558351,0.9597635163486172,87.5,UBFC-rPPG
130,70.0,POS,1.20849609375,4.7938676285020225,5.862751936749416,0.9600244942545468,88.39285714285714,UBFC-rPPG
131,90.0,POS,1.4125279017857142,4.8196952974057785,3.0509332467546773,0.9593469404692198,84.82142857142857,UBFC-rPPG
132,15.0,CHROM,0.2663352272727273,0.8095889996575283,7.366473925996509,0.9777272182406784,96.96969696969697,PURE
133,20.0,CHROM,0.4794034090909091,1.467504685435644,8.064363406437538,0.9203363147613622,93.93939393939394,PURE
